MULTICAST -----> udp://@225.1.1.75 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:55|INFORMATION_RECEIVED udp://@225.1.1.75:2000
MULTICAST -----> udp://@225.1.1.75 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:55|STATUS_PLAYING udp://@225.1.1.75:2000
MULTICAST -----> udp://@225.1.1.32 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:57|INFORMATION_RECEIVED udp://@225.1.1.32:2000
MULTICAST -----> udp://@225.1.1.32 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:57|STATUS_PLAYING udp://@225.1.1.32:2000
MULTICAST -----> udp://@225.1.1.86 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:59|INFORMATION_RECEIVED udp://@225.1.1.86:2000
MULTICAST -----> udp://@225.1.1.86 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:59|STATUS_PLAYING udp://@225.1.1.86:2000
MULTICAST -----> udp://@225.1.1.33 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:3|INFORMATION_RECEIVED udp://@225.1.1.33:2000
MULTICAST -----> udp://@225.1.1.33 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:3|STATUS_PLAYING udp://@225.1.1.33:2000
MULTICAST -----> udp://@225.1.1.52 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:16|INFORMATION_RECEIVED udp://@225.1.1.52:2000
MULTICAST -----> udp://@225.1.1.52 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:16|STATUS_PLAYING udp://@225.1.1.52:2000
MULTICAST -----> udp://@225.1.1.53 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:19|INFORMATION_RECEIVED udp://@225.1.1.53:2000
MULTICAST -----> udp://@225.1.1.53 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:19|STATUS_PLAYING udp://@225.1.1.53:2000
MULTICAST -----> udp://@225.1.1.50 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:22|INFORMATION_RECEIVED udp://@225.1.1.50:2000
MULTICAST -----> udp://@225.1.1.50 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:22|STATUS_PLAYING udp://@225.1.1.50:2000
MULTICAST -----> udp://@225.1.1.79 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:25|INFORMATION_RECEIVED udp://@225.1.1.79:2000
MULTICAST -----> udp://@225.1.1.79 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:25|STATUS_PLAYING udp://@225.1.1.79:2000
MULTICAST -----> udp://@225.1.1.54 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:28|INFORMATION_RECEIVED udp://@225.1.1.54:2000
MULTICAST -----> udp://@225.1.1.54 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:28|STATUS_PLAYING udp://@225.1.1.54:2000
MULTICAST -----> udp://@225.1.1.55 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:30|INFORMATION_RECEIVED udp://@225.1.1.55:2000
MULTICAST -----> udp://@225.1.1.55 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:30|STATUS_PLAYING udp://@225.1.1.55:2000
MULTICAST -----> udp://@225.1.1.56 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:34|INFORMATION_RECEIVED udp://@225.1.1.56:2000
MULTICAST -----> udp://@225.1.1.56 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:34|STATUS_PLAYING udp://@225.1.1.56:2000
MULTICAST -----> udp://@225.1.1.57 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:37|INFORMATION_RECEIVED udp://@225.1.1.57:2000
MULTICAST -----> udp://@225.1.1.57 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:37|STATUS_PLAYING udp://@225.1.1.57:2000
MULTICAST -----> udp://@225.168.1.71 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:36:43|INFORMATION_RECEIVED udp://@225.168.1.71:2071
